1,2,3,4,5,url
 Go, JavaScript, TypeScript, Kotlin, Shell,https://github.com/ZupIT
 TypeScript, Kotlin, Python, Shell, Java,https://github.com/stack-spot
 PHP, Java, Objective-C, Ruby, C#,https://github.com/pagseguro
 JavaScript, Java,,,,https://github.com/pagbank
 Java, Python, JavaScript, Ruby, Go,https://github.com/mercadolibre
 Python, TypeScript, JavaScript, Java, Go,https://github.com/ciandt
 PHP, HCL, Java, Python, Swift,https://github.com/PicPay
 Ruby, JavaScript, Python, Java, TypeScript,https://github.com/thoughtworks
 Go, Dockerfile, JavaScript, Python, Java,https://github.com/quintoandar
 Java, TypeScript,,,,https://github.com/ifood
 Shell, Java, JavaScript, Python, Go,https://github.com/olxbr
 Python, JavaScript, Go, Shell, Objective-C,https://github.com/luizalabs
,,,,,https://github.com/neon
 TypeScript, JavaScript, Python, Java, Go,https://github.com/viavarejo
 Python, Go, C#, JavaScript, PowerShell,https://github.com/stone-payments
 Ruby, JavaScript, Go, Java, Shell,https://github.com/Gympass
 PHP, Ruby, Java, JavaScript, TypeScript,https://github.com/ebanx
 Python, JavaScript, Go, CSS, Java,https://github.com/loggi
 Python, JavaScript, Go, Ruby, Java,https://github.com/globocom
 HCL, JavaScript, TypeScript,,,https://github.com/grupoboticario
 Kotlin, Python, HTML,,,https://github.com/itidigital
 Go,,,,,https://github.com/wildlife-studios
 JavaScript, TypeScript, CoffeeScript, CSS, HTML,https://github.com/vtex
 JavaScript, Python, PHP, TypeScript, Java,https://github.com/ZXVentures
 JavaScript, Java, Python, Go, Swift,https://github.com/uber
 Go, Ruby, Java, Objective-C, Swift,https://github.com/sumup
 Go, Java, Python, TypeScript, JavaScript,https://github.com/acesso-io
 Python, Java, PHP, JavaScript, Swift,https://github.com/amzn
 Python, Go, Java, C#, TypeScript,https://github.com/aws
 Ruby, JavaScript, Elixir, API Blueprint, HTML,https://github.com/pipefy
,,,,,https://github.com/gruposantander
 Python, PHP, CSS, Smarty, Jsonnet,https://github.com/dafiti-group
,,,,,https://github.com/BTGPactual
 JavaScript, Java, TypeScript, Groovy, Ruby,https://github.com/zenvia
 Go, C++, Python, Vue,,https://github.com/dasa-health
 Shell, JavaScript, Go,,,https://github.com/AmeDigital
 JavaScript, TypeScript, PHP, Dockerfile,,https://github.com/sanar
 C++, JavaScript, Python, Java, C,https://github.com/facebook
