ceoRating,ceoRatingsCount,businessOutlookRating,compensationAndBenefitsRating,cultureAndValuesRating,careerOpportunitiesRating,overallRating,recommendToFriendRating,seniorManagementRating,workLifeBalanceRating,reviewCount,diversityAndInclusionRating,recomend,url
-1,0,1,4.3,4.3,4.6,4.6,0.88,4.3,4.4,9,3.7,88,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-180-Seguros-EI_IE6397601.13,24.htm"
-1,0,0.88,4.7,4.4,4.4,4.5,0.76,4.3,3.5,10,4.4,76,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-ADDI-EI_IE3843870.13,17.htm"
-1,0,0.62,3.6,3.9,3.4,3.8,0.73,3.2,3.3,481,4.4,73,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-99-EI_IE1384588.13,15.htm"
0.95,132,0.86,3.4,4.5,4,4.3,0.87,4,4.5,311,4.2,87,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Adyen-EI_IE684495.13,18.htm"
-1,0,0.74,4.3,4.1,4.1,4.2,0.85,3.8,3.8,580,4.2,85,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Agi-EI_IE1997188.13,16.htm"
-1,0,0.76,4.2,4.6,4.1,4.4,0.94,4.1,4.4,160,4.7,94,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Alelo-EI_IE502801.13,18.htm"
-1,0,0.64,4.1,4.4,4.1,4,0.63,3.9,4.1,17,4.2,63,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Alice-EI_IE4315940.13,18.htm"
-1,0,0.61,3.4,4.1,3.6,4.3,0.79,3.3,3.7,19,3.7,79,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Alt-Bank-EI_IE2961448.13,21.htm"
-1,0,0.88,4.1,4.9,4.3,4.9,0.99,4.5,4.8,46,4.7,99,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Alura-EI_IE2500530.13,18.htm"
0.97,59,0.87,4.2,4.4,4.3,4.4,0.89,4.1,3.8,403,4.3,89,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Amazon-EI_IE6036.13,19.htm"
1,2,0.83,3.6,4.3,4.3,4.3,0.9,4,4.2,394,4.5,90,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Ame-Digital-EI_IE2860094.13,24.htm"
1,8,0.82,4.6,4.6,4.2,4.8,0.87,4.4,4.1,85,4.3,87,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Apple-EI_IE1138.13,18.htm"
0.97,892,0.92,4.5,4.7,4.3,4.6,0.93,4.4,4.6,1260,4.5,93,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Atlassian-EI_IE115699.13,22.htm"
0.99,129,0.88,4.4,4.5,4.3,4.6,0.87,4.4,4.4,171,4.6,87,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Auth0-EI_IE1162798.13,18.htm"
0.93,670,0.79,3.9,4.4,4.2,4.2,0.88,4,4,3293,4.6,88,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Avanade-EI_IE11701.13,20.htm"
0.96,30,0.84,4.4,4.5,4.3,4.5,0.88,4.4,4.5,259,4.7,88,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Avenue-Code-EI_IE456173.13,24.htm"
0.97,59,0.87,4.2,4.4,4.3,4.4,0.89,4.1,3.8,403,4.3,89,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Amazon-EI_IE6036.13,19.htm"
0.94,930,0.82,3.5,4.2,4.3,4.3,0.87,4.1,3.8,5852,4.4,87,"https://www.glassdoor.com.br/Overview/Working-at-americanas-s-a-EI_IE10939.11,25.htm?countryRedirect=true"
0.94,930,0.82,3.5,4.2,4.3,4.3,0.87,4.1,3.8,5852,4.4,87,"https://www.glassdoor.com.br/Overview/Working-at-americanas-s-a-EI_IE10939.11,25.htm?countryRedirect=true"
0.94,198,0.83,3.8,4.4,4.2,4.2,0.92,4.1,4.2,277,4.6,92,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Backbase-EI_IE117266.13,21.htm"
0.89,360,0.8,3.9,4.2,4.1,4.3,0.88,4.1,4.3,684,4.4,88,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BairesDev-EI_IE864485.13,22.htm"
-1,0,0.85,4.5,4.5,4,4.5,0.93,4,4.2,855,4.5,93,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-banco-BV-EI_IE333951.13,21.htm"
0.87,47,0.8,4.4,4.1,3.9,4.3,0.86,3.9,4,392,4,86,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Inter-EI_IE2483031.13,18.htm"
-1,0,0.71,4.3,3.7,3.8,4.1,0.85,3.5,3.9,21,4.1,85,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Next-EI_IE4839127.13,23.htm"
-1,0,0.65,4.1,3.6,3.4,4,0.81,3.3,3.8,361,3.7,81,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Original-EI_IE1026577.13,27.htm"
-1,0,0.79,4.5,4,3.9,4.3,0.9,3.7,3.8,697,4.3,90,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-PAN-EI_IE1184444.13,22.htm"
1,5,0.88,4.1,4.6,4.5,4.7,0.97,4.3,4.5,186,4.4,97,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-banQi-EI_IE4266216.13,18.htm"
-1,0,0.77,3.7,3.9,3.9,3.8,0.76,3.5,3.3,66,3.5,76,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Beep-Sa%C3%BAde-EI_IE2836017.13,23.htm"
1,9,0.97,4.7,4.9,4.8,5,1,4.9,4.8,31,4.9,100,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Belvo-EI_IE3275125.13,18.htm"
-1,0,0.68,4.2,4.1,4,4.1,0.83,3.9,4,52,4,83,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Bitso-EI_IE1710750.13,18.htm"
0.76,1329,0.54,3.7,3.8,3,3.7,0.73,3.1,3.8,5602,4.2,73,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Booking-com-EI_IE256653.13,24.htm"
-1,0,0.92,4.5,4.7,4.5,4.6,0.92,4.5,4.5,15,4.3,92,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BossaBox-EI_IE2800036.13,21.htm"
1,3,0.84,4.3,4.5,4,4.5,0.91,4.1,3.9,1445,4.5,91,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Grupo-Botic%C3%A1rio-EI_IE2195061.13,28.htm"
0.88,434,0.69,4.2,3.9,3.8,4.1,0.81,3.6,3.4,6989,4,81,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Bradesco-EI_IE10997.13,27.htm"
-1,0,0.82,4.4,3.8,4.3,4,0.81,3.9,2.7,772,3.6,81,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BTG-Pactual-EI_IE411540.13,24.htm"
1,11,0.94,4.7,4.8,4.8,4.8,0.97,4.6,4.5,70,4.4,97,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Buser-EI_IE2844045.13,18.htm"
0.67,67,0.76,4.2,4.2,4.1,4.2,0.83,3.7,3.4,1152,4.1,83,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-ByteDance-EI_IE1624196.13,22.htm"
-1,0,0.79,4.3,4.3,4.1,4.3,0.84,3.9,3.8,339,4.3,84,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-C6-Bank-EI_IE2469864.13,20.htm"
0.91,209,0.86,4.2,4.7,4.5,4.6,0.93,4.3,4.6,1122,4.7,93,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-CI-and-T-EI_IE140265.13,21.htm"
1,6,0.7,4.1,4.4,4.4,4.4,0.89,3.9,4.3,98,4.2,89,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-ClickBus-EI_IE955083.13,21.htm"
-1,0,0.86,4.5,4.8,4.4,4.6,0.94,4.3,4.6,262,4.5,94,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-ContaAzul-EI_IE1066463.13,22.htm"
-1,0,0.86,4.5,4.8,4.4,4.6,0.94,4.3,4.6,262,4.5,94,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-ContaAzul-EI_IE1066463.13,22.htm"
-1,0,1,4.9,5,4.9,5,1,4.9,4.9,75,4.7,100,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Cora-Bank-EI_IE3078822.13,22.htm"
0.95,87,0.79,4.1,4.5,4.1,4.5,0.88,4.1,4.3,261,4.5,88,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Cornershop-by-Uber-EI_IE2435147.13,31.htm"
-1,0,0.85,4.2,4.5,4.3,4.5,0.91,4.2,4.3,1254,4.6,91,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Creditas-EI_IE2122901.13,21.htm"
1,1,0.6,3.1,4.2,3.5,3.9,0.74,3.4,4.2,65,4.4,74,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Cubos-EI_IE2110357.13,18.htm"
-1,0,0.75,3.6,4.3,3.8,4.1,0.88,3.5,3.9,672,4.5,88,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Dafiti-EI_IE701830.13,19.htm"
0.95,6698,0.83,3.9,4.3,4,4.2,0.88,3.9,4.2,24540,4.4,,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Dell-Technologies-EI_IE1327.13,30.htm"
0.93,1319,0.78,4.2,4.4,4.2,4.3,0.85,4.2,4.3,2044,4.3,85,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-DocuSign-EI_IE307604.13,21.htm"
0.89,29,0.75,4.1,4.5,3.9,4.3,0.9,4,4.2,337,4.7,90,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-EBANX-EI_IE1105630.13,18.htm"
-1,0,0.87,4.3,4.8,3.8,4.6,0.91,4.3,4.6,113,4.5,91,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Elo7-EI_IE864738.13,17.htm"
-1,0,0.74,4,4.4,4,4.3,0.85,4,4.1,281,4.6,85,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Escale-EI_IE2255850.13,19.htm"
0.89,990,0.6,4,4.2,3.6,4.1,0.82,3.5,4.2,5292,4.3,82,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Expedia-Group-EI_IE9876.13,26.htm"
0.89,990,0.6,4,4.2,3.6,4.1,0.82,3.5,4.2,5292,4.3,82,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Expedia-Group-EI_IE9876.13,26.htm"
0.89,990,0.6,4,4.2,3.6,4.1,0.82,3.5,4.2,5292,4.3,82,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Expedia-Group-EI_IE9876.13,26.htm"
0.87,4716,0.78,4.6,4.1,4.2,4.3,0.85,3.9,3.8,7779,4.2,85,https://www.glassdoor.com.br/metacareers
0.92,601,0.76,3.8,4.4,3.7,4.2,0.85,3.8,4.2,889,4.4,85,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-FARFETCH-EI_IE799159.13,21.htm"
-1,0,1,4.2,5,4.3,4.6,1,4.5,4.8,12,5,100,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-FinanZero-EI_IE2812408.13,22.htm"
-1,0,0.86,4,4.3,3.5,4.5,1,4.4,4.3,8,4,100,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Franq-Openbank-EI_IE4022440.13,27.htm"
-1,0,0.71,3.4,3.8,3.8,3.8,0.82,3.7,2.9,103,3.9,82,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Frubana-EI_IE2462202.13,20.htm"
-1,0,0.84,3.8,4.7,4.4,4.4,0.89,4.1,4.5,109,4.6,89,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-GetNinjas-EI_IE1493964.13,22.htm"
-1,0,1,4.3,4.9,4.6,4.8,0.91,4.5,4.6,19,4.9,91,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-GFT-Group-EI_IE5353645.13,22.htm"
0.94,2526,0.82,3.8,4.5,4.3,4.3,0.93,4.1,4.3,4318,4.6,93,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Globant-EI_IE150678.13,20.htm"
-1,0,0.62,3.8,3.8,3.5,4.1,0.86,3.4,3.6,1244,4,86,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Globo-EI_IE321393.13,18.htm"
0.93,5629,0.85,4.5,4.4,4.3,4.5,0.9,4.2,4.3,22884,4.4,90,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Google-EI_IE9079.13,19.htm"
-1,0,0.79,4.3,4.3,4.2,4.1,0.9,3.7,4.3,146,4.3,90,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Guiabolso-EI_IE1268911.13,22.htm"
-1,0,1,3.9,4.7,4.7,4.9,1,4.3,4.6,7,4,100,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Guru-EI_IE4570065.13,17.htm"
0.96,53,0.86,4,4.5,4.2,4.5,0.91,4.2,4.2,305,4.6,91,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Gympass-EI_IE1419026.13,20.htm"
0.92,19,0.9,4.8,4.7,4.6,4.8,0.94,4.4,4.6,52,4.6,94,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Hash-EI_IE3133159.13,17.htm"
0.74,614,0.64,3.5,3.6,3.5,3.7,0.71,3.3,3.4,1412,3.7,71,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-HelloFresh-EI_IE998728.13,23.htm"
0.92,84,0.87,4,4.6,4.2,4.5,0.92,4.2,4.4,383,4.6,92,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Hotmart-EI_IE1139514.13,20.htm"
0.89,41,0.71,4.3,4.4,3.9,4.2,0.85,3.8,4.1,512,4.5,85,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Huge-EI_IE139928.13,17.htm"
-1,0,0.77,3.7,4.3,3.8,4.2,0.88,3.9,4.1,206,4.3,88,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Hurb-EI_IE936163.13,17.htm"
-1,0,0.9,4.3,4.7,4.6,4.7,0.93,4.4,4.5,121,4.8,93,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-idwall-EI_IE1948154.13,19.htm"
-1,0,0.85,4.3,4.5,4.3,4.5,0.92,4.1,4.1,1360,4.6,92,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-iFood-EI_IE1396166.13,18.htm"
1,3,0.95,4.1,4.7,4.4,4.7,0.98,4.5,4.6,77,4.7,98,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-%C3%ADlia-Brazil-EI_IE4266621.13,24.htm"
0.95,1965,0.9,4.5,4.6,4.3,4.5,0.91,4.3,4.4,6735,4.6,91,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Intuit-EI_IE2293.13,19.htm"
1,10,0.87,4.2,4.7,4.4,4.6,0.96,4.4,4.7,329,4.6,96,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Invillia-EI_IE2411180.13,21.htm"
-1,0,0.9,3.7,4.5,4.3,4.6,0.9,4.4,4.5,23,3.9,90,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-isaac-Brazil-EI_IE4496925.13,25.htm"
0.92,1112,0.81,4.6,4.4,4.1,4.5,0.92,4,3.9,13190,4.4,92,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Ita%C3%BA-Unibanco-Ita%C3%BA-BBA-e-Rede-EI_IE10999.13,42.htm"
-1,0,1,4.7,4.7,4,4.7,0.94,4.4,4.4,20,4.3,94,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-iti-Ita%C3%BA-EI_IE3347026.13,21.htm"
-1,0,0.64,3.6,4.1,4.1,4.2,0.84,3.9,4,186,4.2,84,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-James-Delivery-EI_IE2570636.13,27.htm"
